quarter,tsnh,no_nh,no_phai_tra,tong_ts,vcsh,hang_ton_kho,phai_thu_kh,tien,doanh_thu,ebt,lai_vay,lnst,cfo,ticker,nganh
2025-Q3,590641891000000.0,557896380000000.0,925966426000000.0,1087870325000000.0,161903899000000.0,185624958000000.0,29339826000000.0,72150719000000.0,39135103000000.0,4024377000000.0,-9027158000000.0,3025338000000.0,7940584000000.0,VIC,Bat dong san
2025-Q2,529134246000000.0,512360784000000.0,799543551000000.0,958235441000000.0,158691890000000.0,135055347000000.0,29238802000000.0,74759825000000.0,46422489000000.0,3777060000000.0,-7614201000000.0,2296533000000.0,88222505000000.0,VIC,Bat dong san
2026-Q1,15336389554221.0,6652416523190.0,7568375984049.0,17721034179940.0,10152658195891.0,6804903904281.0,1230552197245.0,2140429504657.0,144554673583.0,-10140427899.0,-25630664497.0,-9907812917.0,-436850276905.0,DIG,Bat dong san
2025-Q4,16636364783345.0,7824348151318.0,8934021747589.0,18959638759856.0,10025617012267.0,6627355351266.0,1723354410831.0,3279178467269.0,2951182249239.0,550825002286.0,-29731788837.0,406441593970.0,1356225728879.0,DIG,Bat dong san
2025-Q3,16594152064666.0,8021862213005.0,10785890740966.0,19013434380893.0,8227543639927.0,8655114046748.0,971410696510.0,1349422592990.0,1339346732790.0,257726857368.0,-44109359142.0,193219127428.0,844932821679.0,DIG,Bat dong san
2025-Q2,16449900406095.0,8186349969715.0,10921819429384.0,18974380362580.0,8052560933196.0,9189561563428.0,1069898879418.0,585613664912.0,272247435126.0,75176118096.0,-596085254.0,73498023779.0,-33072617586.0,DIG,Bat dong san
2026-Q1,6512155047287.0,3489526984930.0,7811919851007.0,13179705370634.0,5367785519627.0,3391607692945.0,145160913637.0,166108505430.0,150363794910.0,9290436020.0,-68908193940.0,11663623247.0,-651380927046.0,SCR,Bat dong san
2025-Q4,6798173643751.0,3215502666603.0,7538409432961.0,12895731329341.0,5357321896380.0,3493092278505.0,174131397722.0,359964873101.0,276884668083.0,34657790207.0,-75465945187.0,33472171646.0,-1122833909454.0,SCR,Bat dong san
2025-Q3,7151866750393.0,4114029165458.0,7523377075252.0,13018882846229.0,5495505770977.0,3574286927745.0,222872307396.0,317014778243.0,431575044432.0,11591882450.0,-70582624967.0,1819258625.0,-179090807780.0,SCR,Bat dong san
2025-Q2,7493072784685.0,4392367383601.0,7900656854166.0,13395543366518.0,5494886512352.0,3552510990601.0,297587248043.0,449044635996.0,409023291698.0,44505563568.0,-66384941444.0,30194821238.0,474627669070.0,SCR,Bat dong san
2026-Q1,6190375195330.0,1120688262613.0,2290718952689.0,10459317364613.0,8168598411924.0,3794073754647.0,574613625079.0,826256565963.0,253531920069.0,125871010197.0,-11366780762.0,104289019882.0,-121776638648.0,IJC,Bat dong san
2025-Q4,6016656347470.0,952508952111.0,2268499437236.0,10332808829278.0,8064309392042.0,3686467591721.0,544966939244.0,923215618792.0,609934329810.0,244225879829.0,-15453951055.0,200046418513.0,-503164088144.0,IJC,Bat dong san
2025-Q3,5086661384663.0,2163249983363.0,2839523094993.0,8206487445154.0,5366964350161.0,4179630381897.0,566755897821.0,242615832246.0,671578401104.0,299068103876.0,-9757798514.0,254382802760.0,133522292979.0,IJC,Bat dong san
2025-Q2,4530397082654.0,2020669927559.0,2607419597537.0,7908875336938.0,5301455739401.0,3724670967585.0,586664365282.0,113527790992.0,175432379041.0,109546258647.0,-11597719476.0,97468063506.0,95577249971.0,IJC,Bat dong san
2026-Q1,1755321042132.0,93433190318.0,262492669801.0,2191620923098.0,1929128253297.0,128187262437.0,8468288396.0,159240111183.0,33097212195.0,46536771050.0,0.0,37028560082.0,41711732176.0,TIP,Bat dong san
2025-Q4,1716057351269.0,82524470048.0,253010038008.0,2155654856223.0,1902644818215.0,128160084763.0,8099323984.0,1185897343907.0,40143234318.0,120065166340.0,0.0,98036560589.0,-2086872011.0,TIP,Bat dong san
2025-Q3,1619556215273.0,65055775689.0,237057432126.0,2061168046852.0,1824110614726.0,129040287433.0,6010599226.0,16134482492.0,38630640412.0,34709168664.0,0.0,28987877209.0,-2864102519.0,TIP,Bat dong san
2025-Q2,1720181657933.0,109152045736.0,282579790650.0,2155711956567.0,1873132165917.0,131536114736.0,7683573677.0,61155318670.0,35855087397.0,88448879655.0,0.0,71101117168.0,11245806560.0,TIP,Bat dong san
2026-Q1,8541513610303.0,3953090335058.0,9874712794195.0,15427622798215.0,5552910004020.0,5954442983925.0,241570751067.0,143246360829.0,287350035741.0,33464381827.0,-24400703632.0,26507974023.0,-1095038325520.0,VPI,Bat dong san
2025-Q4,8316806649540.0,3092561615581.0,9253567005200.0,14727969035197.0,5474402029997.0,5245335870510.0,252617745782.0,706146479835.0,1152655069983.0,200866578210.0,-32361754506.0,129931903558.0,-24106259335.0,VPI,Bat dong san
2025-Q3,7466157794689.0,2917001512211.0,8660374705268.0,14011659821660.0,5351285116392.0,5407909623021.0,186381672258.0,167172393995.0,395570452977.0,143793423741.0,-7116976855.0,119029791362.0,1453328039255.0,VPI,Bat dong san
2025-Q2,7656958696100.0,3361042621950.0,7934790640550.0,13160629419328.0,5225838778778.0,5048068954616.0,141221786171.0,162380986202.0,179397762739.0,16763544111.0,7096023130.0,1697754615.0,-1413343998166.0,VPI,Bat dong san
